event_id,settlement_date,settlement_period,system_length,niv,system_price,price_percentile,niv_percentile,reason_flagged,severity,quality_status
2025-10-13 SP26,2025-10-13,26,Short,184.92249316358024,487.0,100.0,58.17111815301041,Price tail (1st/99th percentile),Review,PASS
2025-10-22 SP35,2025-10-22,35,Short,394.1674707981308,315.1,99.97736532367587,85.76278859212313,Price tail (1st/99th percentile),Review,PASS
2025-10-22 SP36,2025-10-22,36,Short,245.83079827278158,302.69008,99.95473064735174,68.49253055681304,Price tail (1st/99th percentile),Review,PASS
2025-10-14 SP37,2025-10-14,37,Short,13.3421875,300.0,99.93209597102761,5.771842462652784,Price tail (1st/99th percentile),Review,PASS
2025-10-13 SP35,2025-10-13,35,Short,391.93577670613314,294.93,99.90946129470348,85.51380715255772,Price tail (1st/99th percentile),Review,PASS
2025-10-13 SP27,2025-10-13,27,Short,33.943333743961354,290.0,99.88682661837936,14.622000905387052,Price tail (1st/99th percentile),Review,PASS
2025-10-13 SP36,2025-10-13,36,Short,215.82547222001918,282.75,99.86419194205523,64.16930737890448,Price tail (1st/99th percentile),Review,PASS
2025-10-13 SP38,2025-10-13,38,Short,414.1666666666667,282.16,99.8415572657311,87.50565866908103,Price tail (1st/99th percentile),Review,PASS
2025-10-13 SP37,2025-10-13,37,Short,381.4919363940329,281.88,99.81892258940697,84.63105477591671,Price tail (1st/99th percentile),Review,PASS
2025-10-15 SP34,2025-10-15,34,Short,203.77777777777777,264.0,99.79628791308285,61.95110909913988,Price tail (1st/99th percentile),Review,PASS
2025-10-22 SP37,2025-10-22,37,Short,25.53213974894674,250.0,99.77365323675872,10.909913988229968,Price tail (1st/99th percentile),Review,PASS
2025-10-22 SP38,2025-10-22,38,Short,20.701540687612454,250.0,99.77365323675872,8.940697148030784,Price tail (1st/99th percentile),Review,PASS
2025-10-13 SP34,2025-10-13,34,Short,745.1880555555556,248.0,99.72838388411046,97.82707107288365,Price tail (1st/99th percentile),Review,PASS
2025-11-21 SP16,2025-11-21,16,Short,680.9760961169386,247.3104,99.70574920778633,96.78587596197374,Price tail (1st/99th percentile),Review,PASS
2025-11-21 SP15,2025-11-21,15,Short,180.61130697433518,241.63,99.68311453146221,57.37890448166591,Price tail (1st/99th percentile),Review,PASS
2025-10-13 SP33,2025-10-13,33,Short,594.4101295825702,240.1,99.66047985513808,94.95246717971933,Price tail (1st/99th percentile),Review,PASS
2025-10-13 SP31,2025-10-13,31,Short,201.17499057306256,232.56,99.63784517881395,61.54368492530556,Price tail (1st/99th percentile),Review,PASS
2025-10-13 SP32,2025-10-13,32,Short,186.64503205128204,232.56,99.63784517881395,58.64644635581712,Price tail (1st/99th percentile),Review,PASS
2025-10-22 SP34,2025-10-22,34,Short,759.3167562724014,209.38,99.59257582616569,97.98551380715256,Price tail (1st/99th percentile),Review,PASS
2025-11-25 SP33,2025-11-25,33,Short,163.3539700631313,203.37,99.56994114984155,53.75735626980534,Price tail (1st/99th percentile),Review,PASS
2025-11-25 SP34,2025-11-25,34,Short,133.92704448329448,203.37,99.56994114984155,46.785875961973744,Price tail (1st/99th percentile),Review,PASS
2025-10-22 SP33,2025-10-22,33,Short,410.33449015469597,196.73,99.52467179719329,87.30194658216386,Price tail (1st/99th percentile),Review,PASS
2025-11-25 SP35,2025-11-25,35,Short,216.40996827894327,190.06,99.50203712086918,64.259846084201,Price tail (1st/99th percentile),Review,PASS
